Granja,Edad,PesoMedio,Num,Gen,Tanque,Virtual,Fecha,Biomasa,YearClass,BiomasaBajas,NumBajas,Cull,NumBajas_cull,BiomasaBajas_cull,NumSinBajas,BiomasaSinBajas,FechaFin,DiasMes,PesoMedioSinBajas,Talla,BiomasaPescas,BiomasaSinPescas,NumPescas,NumSinPescas,PesoMedioSinPescas,Tasa,PesoMedioFinal,BiomasaFinal,NumFinal,EdadFinal,TallaFinal,Input
Hafnir_P,751,954.5454711914062,3046,23 1SG,G34,False,2024-08-31,2907.545505249024,2023,1908.136396911621,1999,False,0,0.0,0,0.0,2024-09-30,30,0.0,h.800 - 10000,999.4091083374022,1908.136396911621,1047,1999,954.5454711914062,0.0196,0.0,0.0,0,781,h.800 - 10000,False
Hafnir_P,598,690.0,1260,23 3SG,S05,False,2024-08-31,869.4,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,g.600 - 800,869.4,0.0,1260,0,0.0,0.037255512,0.0,0.0,0,628,g.600 - 800,False
Hafnir_P,598,693.4306640625,1117,23 3SG,G45A,False,2024-08-31,774.5620517578125,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,g.600 - 800,774.5620517578125,0.0,1117,0,0.0,0.037255512,0.0,0.0,0,628,g.600 - 800,False
Hafnir_P,598,690.0,189,23 3SG,G57,False,2024-08-31,130.41,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,g.600 - 800,130.41,0.0,189,0,0.0,0.037255512,0.0,0.0,0,628,g.600 - 800,False
Hafnir_P,556,690.0,1080,23 4SG,S05B,False,2024-08-31,745.2,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,g.600 - 800,745.2,0.0,1080,0,0.0,0.044922164,0.0,0.0,0,586,g.600 - 800,False
Cervo Sole,100,16.418444502928185,2500,24 5SG,28_Indef_Cervo Sole_9_2024,True,2024-08-31,41.04611125732046,2024,0.0,0,False,0,0.0,2500,41.04611125732046,2024-09-30,30,16.418444502928185,a.0 - 100,0.0,41.04611125732046,0,2500,16.418444502928185,0.001,16.434862947431114,41.087157368577785,2500,130,a.0 - 100,True
Hafnir_P,556,573.4265747070312,7212,23 4SG,G51,False,2024-08-31,4135.55245678711,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,f.500 - 600,4135.55245678711,0.0,7212,0,0.0,0.044922164,0.0,0.0,0,586,f.500 - 600,False
Anglet_P,536,382.0,3675,23 4SG,V10,False,2024-08-31,1403.85,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,d.300 - 400,1403.85,0.0,3675,0,0.0,0.069809544,0.0,0.0,0,566,d.300 - 400,False
Anglet_P,532,657.0,4003,23 4SG,A06,False,2024-08-31,2629.971,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,g.600 - 800,2629.971,0.0,4003,0,0.0,0.07199528,0.0,0.0,0,562,g.600 - 800,False
Anglet_P,532,473.0,932,23 4SG,V06,False,2024-08-31,440.836,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,e.400 - 500,440.836,0.0,932,0,0.0,0.07199528,0.0,0.0,0,562,e.400 - 500,False
Anglet_P,529,537.0,1070,23 4SG,V05,False,2024-08-31,574.59,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,f.500 - 600,574.59,0.0,1070,0,0.0,0.073672536,0.0,0.0,0,559,f.500 - 600,False
Anglet_P,234,79.96,5014,24 3SG,CAP01,False,2024-08-31,400.91944,2024,0.0,0,False,0,0.0,5014,400.91944,2024-09-30,30,79.96,a.0 - 100,0.0,400.91944,0,5014,79.96,0.442555232,115.34671635072,578.34843578251,5014,264,b.100 - 200,False
Anglet_P,528,558.9999999999999,1700,23 4SG,V03,False,2024-08-31,950.2999999999996,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,f.500 - 600,950.2999999999996,0.0,1700,0,0.0,0.074238668,0.0,0.0,0,558,f.500 - 600,False
Hafnir_P,513,320.0,2509,23 4SG,S03A,False,2024-08-31,802.88,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,d.300 - 400,802.88,0.0,2509,0,0.0,0.073112648,0.0,0.0,0,543,d.300 - 400,False
Hafnir_P,513,586.4197530864199,7389,23 4SG,G52,False,2024-08-31,4333.055555555556,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,f.500 - 600,4333.055555555556,0.0,7389,0,0.0,0.073112648,0.0,0.0,0,543,f.500 - 600,False
Cervo Sole,100,10.128190913955782,2500,24 5SG,5_Indef_Cervo Sole_9_2024,True,2024-08-31,25.320477284889456,2024,0.0,0,False,0,0.0,2500,25.320477284889456,2024-09-30,30,10.128190913955782,a.0 - 100,0.0,25.320477284889456,0,2500,10.128190913955782,0.001,10.13831910486974,25.34579776217435,2500,130,a.0 - 100,True
Hafnir_P,513,351.5144441413729,1,23 4SG,G35,False,2024-08-31,0.3515144441413729,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,d.300 - 400,0.3515144441413729,0.0,1,0,0.0,0.073112648,0.0,0.0,0,543,d.300 - 400,False
Hafnir_P,513,644.0678100585938,7449,23 4SG,G40,False,2024-08-31,4797.661117126465,2023,21.2542377319336,33,False,0,0.0,3565,2296.1017428588866,2024-09-30,30,644.0678100585938,g.600 - 800,2480.3051365356446,2317.3559805908203,3851,3598,644.0678100585938,0.073112648,691.1573131435385,2463.9758213567147,3565,543,g.600 - 800,False
Hafnir_P,513,522.058837890625,334,23 4SG,G47,False,2024-08-31,174.36765185546875,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,f.500 - 600,174.36765185546875,0.0,334,0,0.0,0.073112648,0.0,0.0,0,543,f.500 - 600,False
Hafnir_P,513,700.0,1290,23 4SG,G57B,False,2024-08-31,903.0,2023,207.9,297,False,0,0.0,993,695.1,2024-09-30,30,700.0000000000001,g.600 - 800,0.0,903.0,0,1290,700.0,0.073112648,751.1788536000001,745.9206016248002,993,543,g.600 - 800,False
Hafnir_P,513,563.0841064453125,7506,23 4SG,G43,False,2024-08-31,4226.509302978516,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,f.500 - 600,4226.509302978516,0.0,7506,0,0.0,0.073112648,0.0,0.0,0,543,f.500 - 600,False
Hafnir_P,513,557.3770491803278,6870,23 4SG,G28,False,2024-08-31,3829.180327868852,2023,0.0,0,False,0,0.0,4842,2698.8196721311474,2024-09-30,30,557.3770491803278,f.500 - 600,1130.3606557377047,2698.8196721311474,2028,4842,557.3770491803278,0.073112648,598.1283611803278,2896.137524835148,4842,543,f.500 - 600,False
Hafnir_P,513,570.2479248046875,8545,23 4SG,G36,False,2024-08-31,4872.768517456055,2023,0.0,0,False,0,0.0,8545,4872.768517456055,2024-09-30,30,570.2479248046875,f.500 - 600,0.0,4872.768517456055,0,8545,570.2479248046875,0.073112648,611.9402606036631,5229.029526858301,8545,543,g.600 - 800,False
Anglet_P,485,460.7317073170732,8050,23 5SG,A07,False,2024-08-31,3708.890243902439,2023,6.450243902439024,14,False,0,0.0,311,143.28756097560978,2024-09-30,30,460.7317073170733,e.400 - 500,3559.1524390243903,149.7378048780488,7725,325,460.7317073170732,0.105375256,509.2814289229269,158.38652439503028,311,515,f.500 - 600,False
Anglet_P,485,519.2380952380953,10370,23 5SG,F06,False,2024-08-31,5384.499047619049,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,f.500 - 600,5384.499047619049,0.0,10370,0,0.0,0.105375256,0.0,0.0,0,515,f.500 - 600,False
Anglet_P,150,30.48780487804878,8164,24 4SG,CAN10,False,2024-08-31,248.90243902439025,2024,0.0,0,False,0,0.0,8164,248.90243902439025,2024-09-30,30,30.48780487804878,a.0 - 100,0.0,248.90243902439025,0,8164,30.48780487804878,0.882423304,57.39095439024391,468.5397516419513,8164,180,a.0 - 100,False
Anglet_P,485,657.0,1399,23 5SG,A06A,False,2024-08-31,919.143,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,g.600 - 800,919.143,0.0,1399,0,0.0,0.105375256,0.0,0.0,0,515,g.600 - 800,False
Couso i+d,192,100.0,500,24 4SG,E09,False,2024-08-31,50.0,2024,0.0,0,True,0,0.0,500,50.0,2024-09-30,30,100.0,a.0 - 100,0.0,50.0,0,500,100.0,0.672117656,167.21176559999998,83.60588279999999,500,222,b.100 - 200,False
Anglet_P,485,437.00000000000006,8612,23 5SG,RW2A,False,2024-08-31,3763.444,2023,7.429000000000001,17,False,0,0.0,8595,3756.015,2024-09-30,30,437.00000000000006,e.400 - 500,0.0,3763.444,0,8612,437.00000000000006,0.105375256,483.04898687200006,4151.806042164841,8595,515,e.400 - 500,False
Couso i+d,485,445.3333333333333,1721,23 5SG,L02,False,2024-08-31,766.4186666666666,2023,0.0,0,False,0,0.0,1710,761.5199999999999,2024-09-30,30,445.33333333333326,e.400 - 500,4.898666666666666,761.5199999999999,11,1710,445.33333333333326,0.0959160439999999,488.047944928,834.5619858268799,1710,515,e.400 - 500,False
Anglet_P,234,120.7,3889,24 3SG,CAP25,False,2024-08-31,469.4023,2024,0.0,0,False,0,0.0,3889,469.4023,2024-09-30,30,120.7,b.100 - 200,0.0,469.4023,0,3889,120.7,0.442555232,174.1164165024,677.1387437778336,3889,264,b.100 - 200,False
Anglet_P,485,406.25,9534,23 5SG,A05,False,2024-08-31,3873.1875,2023,6.09375,15,False,0,0.0,9519,3867.09375,2024-09-30,30,406.25,e.400 - 500,0.0,3873.1875,0,9534,406.25,0.105375256,449.05869775,4274.58974388225,9519,515,e.400 - 500,False
Couso i+d,485,460.6666666666666,1727,23 5SG,L01,False,2024-08-31,795.5713333333332,2023,0.0,0,False,0,0.0,1727,795.5713333333332,2024-09-30,30,460.6666666666666,e.400 - 500,0.0,795.5713333333332,0,1727,460.6666666666666,0.0959160439999999,504.851990936,871.879388346472,1727,515,f.500 - 600,False
Anglet_P,485,537.0,1289,23 5SG,V05A,False,2024-08-31,692.193,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,f.500 - 600,692.193,0.0,1289,0,0.0,0.105375256,0.0,0.0,0,515,f.500 - 600,False
Anglet_P,485,473.0,788,23 5SG,V07,False,2024-08-31,372.724,2023,5.203,11,False,0,0.0,777,367.521,2024-09-30,30,473.00000000000006,e.400 - 500,0.0,372.724,0,788,473.0,0.105375256,522.8424960880001,406.24861946037606,777,515,f.500 - 600,False
Anglet_P,485,472.2480620155039,12905,23 5SG,F01,False,2024-08-31,6094.361240310078,2023,4.250232558139535,9,False,0,0.0,12896,6090.111007751938,2024-09-30,30,472.2480620155038,e.400 - 500,0.0,6094.361240310078,0,12905,472.2480620155039,0.105375256,522.0113224458914,6731.858014262216,12896,515,f.500 - 600,False
Hafnir_P,471,431.2796208530806,8292,23 5SG,G02,False,2024-08-31,3576.170616113744,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,e.400 - 500,3576.170616113744,0.0,8292,0,0.0,0.1062554919999999,0.0,0.0,0,501,e.400 - 500,False
Hafnir_P,471,482.05126953125,7118,23 5SG,G26,False,2024-08-31,3431.240936523437,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,e.400 - 500,3431.240936523437,0.0,7118,0,0.0,0.1062554919999999,0.0,0.0,0,501,e.400 - 500,False
Hafnir_P,471,693.4306640625,2005,23 5SG,G45,False,2024-08-31,1390.3284814453125,2023,15.255474609375,22,False,0,0.0,1983,1375.0730068359376,2024-09-30,30,693.4306640625001,g.600 - 800,0.0,1390.3284814453125,0,2005,693.4306640625,0.1062554919999999,767.1114804403478,1521.1820657132098,1983,501,g.600 - 800,False
Hafnir_P,471,514.792899408284,7045,23 5SG,G03,False,2024-08-31,3626.715976331361,2023,0.5147928994082841,1,False,0,0.0,7044,3626.201183431953,2024-09-30,30,514.7928994082841,f.500 - 600,0.0,3626.715976331361,0,7045,514.7928994082841,0.1062554919999999,569.4924722130179,4011.504974268498,7044,501,f.500 - 600,False
