Granja,FechaFin,Gen,Talla,Biomasa,Num
Hafnir_P,2024-09-30,23 1SG,h.800 - 10000,999.4091083374022,1047.0
Hafnir_P,2024-09-30,23 3SG,g.600 - 800,869.4,1260.0
Hafnir_P,2024-09-30,23 3SG,g.600 - 800,774.5620517578125,1117.0
Hafnir_P,2024-09-30,23 3SG,g.600 - 800,130.41,189.0
Hafnir_P,2024-09-30,23 4SG,g.600 - 800,745.2,1080.0
Hafnir_P,2024-09-30,23 4SG,f.500 - 600,4135.55245678711,7212.0
Anglet_P,2024-09-30,23 4SG,d.300 - 400,1403.85,3675.0
Anglet_P,2024-09-30,23 4SG,g.600 - 800,2629.971,4003.0
Anglet_P,2024-09-30,23 4SG,e.400 - 500,440.836,932.0
Anglet_P,2024-09-30,23 4SG,f.500 - 600,574.59,1070.0
Anglet_P,2024-09-30,23 4SG,f.500 - 600,950.2999999999996,1700.0
Hafnir_P,2024-09-30,23 4SG,d.300 - 400,802.88,2509.0
Hafnir_P,2024-09-30,23 4SG,f.500 - 600,4333.055555555556,7389.0
Hafnir_P,2024-09-30,23 4SG,d.300 - 400,0.3515144441413729,1.0
Hafnir_P,2024-09-30,23 4SG,g.600 - 800,2480.3051365356446,3851.0
Hafnir_P,2024-09-30,23 4SG,f.500 - 600,174.36765185546875,334.0
Hafnir_P,2024-09-30,23 4SG,f.500 - 600,4226.509302978516,7506.0
Hafnir_P,2024-09-30,23 4SG,f.500 - 600,1130.3606557377047,2028.0
Anglet_P,2024-09-30,23 5SG,e.400 - 500,3559.1524390243903,7725.0
Anglet_P,2024-09-30,23 5SG,f.500 - 600,5384.499047619049,10370.0
Anglet_P,2024-09-30,23 5SG,g.600 - 800,919.143,1399.0
Couso i+d,2024-09-30,23 5SG,e.400 - 500,4.898666666666666,11.0
Anglet_P,2024-09-30,23 5SG,f.500 - 600,692.193,1289.0
Hafnir_P,2024-09-30,23 5SG,e.400 - 500,3576.170616113744,8292.0
Hafnir_P,2024-09-30,23 5SG,e.400 - 500,3431.240936523437,7118.0
Hafnir_P,2024-09-30,23 5SG,d.300 - 400,215.67,553.0
Hafnir_P,2024-09-30,23 5SG,e.400 - 500,3050.9358825683594,6920.0
Hafnir_P,2024-09-30,23 5SG,c.200 - 300,1183.95,4385.0
Hafnir_P,2024-09-30,23 5SG,e.400 - 500,3937.418719211823,8688.0
Hafnir_P,2024-09-30,23 5SG,e.400 - 500,4.140000000000001,9.0
Tocha Sole,2024-09-30,23 5SG,f.500 - 600,1299.2299999999998,2595.0
Cervo Sole,2024-09-30,23 5SG,h.800 - 10000,2788.864652282715,3389.0
Cervo Sole,2024-09-30,24 1SG,c.200 - 300,499.813695892334,2078.0
Anglet_P,2024-09-30,23 6SG,f.500 - 600,1398.301935483871,2793.0
Hafnir_P,2024-09-30,24 2SG,c.200 - 300,2094.085910568237,8565.0
Hafnir_P,2024-09-30,23 6SG,b.100 - 200,10.62,59.0
Hafnir_P,2024-09-30,23 6SG,c.200 - 300,64.38,222.0
Hafnir_P,2024-09-30,23 6SG,d.300 - 400,180.0,450.0
Cervo Sole,2024-09-30,24 1SG,d.300 - 400,999.6969909362792,2879.0
Hafnir_P,2024-09-30,23 6SG,d.300 - 400,338.4,846.0
Tocha Sole,2024-09-30,23 6SG,e.400 - 500,2944.5214285714287,6987.0
Tocha Sole,2024-09-30,23 6SG,f.500 - 600,3468.2057142857147,6897.0
Cervo Sole,2024-09-30,23 6SG,f.500 - 600,3918.884343383789,7343.0
Couso i+d,2024-09-30,23 6SG,f.500 - 600,571.6065789473685,1027.0
Cervo Sole,2024-09-30,23 6SG,g.600 - 800,3158.890963195801,5003.0
Cervo Sole,2024-09-30,23 6SG,g.600 - 800,3464.40680657959,4713.0
Cervo Sole,2024-09-30,23 6SG,g.600 - 800,1620.366210083008,2501.0
Cervo Sole,2024-09-30,23 6SG,g.600 - 800,3408.8285895996096,4689.0
Tocha Sole,2024-09-30,23 6SG,f.500 - 600,3569.7714285714287,6980.0
Cervo Sole,2024-09-30,23 6SG,g.600 - 800,3347.190413330078,5407.0
Cervo Sole,2024-09-30,23 6SG,f.500 - 600,3841.11874597168,7451.0
Hafnir_P,2024-09-30,24 1SG,d.300 - 400,2330.4102564102564,6268.0
Anglet_P,2024-09-30,23 6SG,d.300 - 400,2095.946875,5543.0
Tocha Sole,2024-09-30,23 6SG,f.500 - 600,3600.348571428571,6962.0
Tocha Sole,2024-09-30,23 6SG,f.500 - 600,2062.3142857142857,3799.0
Tocha Sole,2024-09-30,23 6SG,e.400 - 500,3271.097142857143,6981.0
Hafnir_P,2024-09-30,24 2SG,c.200 - 300,657.5263041381836,2821.0
Tocha Sole,2024-09-30,23 6SG,e.400 - 500,2783.942857142857,5665.0
Hafnir_P,2024-09-30,24 1SG,d.300 - 400,2653.4892966360853,8591.0
Hafnir_P,2024-09-30,24 1SG,d.300 - 400,2478.7429586181643,6877.0
Cervo Sole,2024-09-30,24 1SG,e.400 - 500,2999.876230224609,6056.0
Cervo Sole,2024-09-30,24 1SG,f.500 - 600,2239.6017474975583,4047.0
Tocha Sole,2024-09-30,24 1SG,c.200 - 300,499.8361911010742,1858.0
Couso i+d,2024-09-30,24 2SG,d.300 - 400,4.896,16.0
Couso i+d,2024-09-30,24 1SG,f.500 - 600,93.0,155.0
Tocha Sole,2024-09-30,24 1SG,d.300 - 400,2499.8853325805662,6386.0
Couso i+d,2024-09-30,24 1SG,f.500 - 600,39.84615384615385,70.0
Tocha Sole,2024-09-30,24 1SG,e.400 - 500,0.4118203430175781,1.0
Anglet_P,2024-09-30,24 1SG,c.200 - 300,499.9158712121212,1777.0
