FARM,DATA,TYPE,YearClass,Gen,a_Sep-2024,b_Oct-2024,c_Nov-2024,d_Dec-2024,e_Jan-2025,f_Feb-2025
Anglet_P,biomass end of month,biomass,a.0 - 100,a.0 - 100,8173.823104529972,8226.444362809825,6536.116235651255,8807.719226252068,8222.040604741213,7851.109052642642
Anglet_P,biomass end of month,biomass,b.100 - 200,b.100 - 200,13775.669527764767,18269.342840092548,16023.454002567903,11606.930952786834,13676.799961397184,15295.426670380093
Anglet_P,biomass end of month,biomass,c.200 - 300,c.200 - 300,20146.141361056612,21820.46738345951,17196.894015812963,22576.89461817042,23281.02140163165,14336.737881066707
Anglet_P,biomass end of month,biomass,d.300 - 400,d.300 - 400,30514.42178720428,11462.807794845194,30869.863769920474,14543.833734884063,17105.95369412972,23986.215860831588
Anglet_P,biomass end of month,biomass,e.400 - 500,e.400 - 500,22127.03660340744,39641.607296411166,8686.107300629687,30241.09587473445,16508.478875867495,19263.20246494921
Anglet_P,biomass end of month,biomass,f.500 - 600,f.500 - 600,69949.60510171499,27244.957950244698,42804.82214033736,10188.620926909258,23661.26063783167,15246.897360724004
Anglet_P,biomass end of month,biomass,g.600 - 800,g.600 - 800,2844.919939572479,56676.94752888093,61444.45715727237,77850.86479548864,47215.52823526553,45153.38170189151
Anglet_P,biomass end of month,biomass,h.800 - 10000,h.800 - 10000,0.0,0.0,0.0,23400.00911755435,60367.41475547486,76302.90495809235
Anglet_P,biomass end of month,biomass,TOTAL,TOTAL,167531.61742525053,183342.57515674387,183561.71462219203,199215.9692467801,210038.49816633933,217435.87595057808
Anglet_P,culling,avweight,2023,23 1SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,culling,avweight,2023,23 3SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,culling,avweight,2023,23 4SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,culling,avweight,2023,23 5SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,culling,avweight,2023,23 6SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,culling,avweight,2024,24 1SG,0.0,0.0,0.0,0.0,0.0,0.0
