Granja,FechaFin,Gen,Talla,Biomasa,Num
Hafnir_P,2024-09-30,23 1SG,h.800 - 10000,999.4091083374022,1047.0
Hafnir_P,2024-09-30,23 3SG,g.600 - 800,774.5620517578125,1117.0
Hafnir_P,2024-09-30,23 3SG,g.600 - 800,130.41,189.0
Hafnir_P,2024-09-30,23 3SG,g.600 - 800,869.4,1260.0
Hafnir_P,2024-09-30,23 4SG,g.600 - 800,745.2,1080.0
Hafnir_P,2024-09-30,23 4SG,g.600 - 800,105.0,150.0
Anglet_P,2024-09-30,23 4SG,d.300 - 400,1403.85,3675.0
Anglet_P,2024-09-30,23 4SG,e.400 - 500,440.836,932.0
Anglet_P,2024-09-30,23 4SG,g.600 - 800,2629.971,4003.0
Anglet_P,2024-09-30,23 4SG,f.500 - 600,574.59,1070.0
Anglet_P,2024-09-30,23 4SG,f.500 - 600,950.2999999999996,1700.0
Hafnir_P,2024-09-30,23 4SG,d.300 - 400,0.3515144441413729,1.0
Hafnir_P,2024-09-30,23 4SG,g.600 - 800,2375.322083496093,3688.0
Hafnir_P,2024-09-30,23 4SG,f.500 - 600,174.36765185546875,334.0
Hafnir_P,2024-09-30,23 4SG,d.300 - 400,802.88,2509.0
Hafnir_P,2024-09-30,23 4SG,f.500 - 600,3829.180327868852,6870.0
Hafnir_P,2024-09-30,23 4SG,f.500 - 600,4226.509302978516,7506.0
Hafnir_P,2024-09-30,23 4SG,f.500 - 600,4333.055555555556,7389.0
Anglet_P,2024-09-30,23 5SG,e.400 - 500,3559.1524390243903,7725.0
Couso i+d,2024-09-30,23 5SG,e.400 - 500,4.6066666666666665,10.0
Anglet_P,2024-09-30,23 5SG,d.300 - 400,256.322,671.0
Couso i+d,2024-09-30,24 1SG,d.300 - 400,4.6528,12.0
Anglet_P,2024-09-30,24 2SG,c.200 - 300,499.9622222222223,2486.0
Anglet_P,2024-09-30,23 5SG,f.500 - 600,5384.499047619049,10370.0
Anglet_P,2024-09-30,23 5SG,g.600 - 800,919.143,1399.0
Hafnir_P,2024-09-30,23 5SG,e.400 - 500,2851.938202247191,5835.0
Hafnir_P,2024-09-30,23 5SG,f.500 - 600,168.0,300.0
Hafnir_P,2024-09-30,23 5SG,e.400 - 500,3576.170616113744,8292.0
Hafnir_P,2024-09-30,23 5SG,e.400 - 500,3431.240936523437,7118.0
Hafnir_P,2024-09-30,23 5SG,f.500 - 600,612.7,1114.0
Hafnir_P,2024-09-30,23 5SG,d.300 - 400,215.67,553.0
Hafnir_P,2024-09-30,23 5SG,e.400 - 500,3543.4298461914063,7156.0
Hafnir_P,2024-09-30,23 5SG,e.400 - 500,596.8669950738916,1317.0
Hafnir_P,2024-09-30,23 4SG,f.500 - 600,656.0000014648438,1144.0
Cervo Sole,2024-09-30,23 5SG,h.800 - 10000,2788.864652282715,3389.0
Tocha Sole,2024-09-30,23 5SG,f.500 - 600,1299.2299999999998,2595.0
Tocha Sole,2024-09-30,23 5SG,f.500 - 600,3333.710769230769,6336.0
Couso i+d,2024-09-30,24 2SG,d.300 - 400,0.309,1.0
Anglet_P,2024-09-30,23 6SG,f.500 - 600,2090.1586666666667,4093.0
Hafnir_P,2024-09-30,23 6SG,c.200 - 300,64.38,222.0
Hafnir_P,2024-09-30,24 2SG,b.100 - 200,456.0547734069824,3166.0
Hafnir_P,2024-09-30,23 6SG,d.300 - 400,180.0,450.0
Hafnir_P,2024-09-30,23 6SG,b.100 - 200,10.62,59.0
Hafnir_P,2024-09-30,23 6SG,d.300 - 400,338.4,846.0
Cervo Sole,2024-09-30,23 6SG,g.600 - 800,3464.40680657959,4713.0
Tocha Sole,2024-09-30,24 1SG,d.300 - 400,2499.8853325805662,6386.0
Cervo Sole,2024-09-30,23 6SG,g.600 - 800,3408.8285895996096,4689.0
Tocha Sole,2024-09-30,23 6SG,e.400 - 500,2944.5214285714287,6987.0
Cervo Sole,2024-09-30,23 6SG,f.500 - 600,3947.394588134765,7692.0
Tocha Sole,2024-09-30,23 6SG,f.500 - 600,3802.56,6990.0
Cervo Sole,2024-09-30,23 6SG,g.600 - 800,3392.5179993896486,5563.0
Cervo Sole,2024-09-30,23 6SG,g.600 - 800,3468.523744384765,5603.0
Tocha Sole,2024-09-30,23 6SG,f.500 - 600,3468.2057142857147,6897.0
Cervo Sole,2024-09-30,23 6SG,f.500 - 600,3918.884343383789,7343.0
Cervo Sole,2024-09-30,23 6SG,g.600 - 800,1265.3239537353516,1953.0
Cervo Sole,2024-09-30,23 6SG,f.500 - 600,2133.210222900391,4138.0
Tocha Sole,2024-09-30,23 6SG,f.500 - 600,2095.908571428572,4168.0
Couso i+d,2024-09-30,24 2SG,c.200 - 300,4.768,16.0
Couso i+d,2024-09-30,23 6SG,f.500 - 600,571.6065789473685,1027.0
Hafnir_P,2024-09-30,24 1SG,d.300 - 400,3247.1597122192384,8755.0
Tocha Sole,2024-09-30,23 6SG,e.400 - 500,3271.097142857143,6981.0
Tocha Sole,2024-09-30,23 6SG,e.400 - 500,2783.942857142857,5665.0
Hafnir_P,2024-09-30,24 1SG,d.300 - 400,1882.96875,6180.0
Hafnir_P,2024-09-30,24 1SG,d.300 - 400,2332.4528301886794,6181.0
Tocha Sole,2024-09-30,24 1SG,e.400 - 500,0.4118203430175781,1.0
Cervo Sole,2024-09-30,24 1SG,e.400 - 500,2450.177369384766,5315.0
Tocha Sole,2024-09-30,24 1SG,c.200 - 300,499.97051123046873,2416.0
Cervo Sole,2024-09-30,24 1SG,e.400 - 500,549.7983764648437,1350.0
Couso i+d,2024-09-30,24 1SG,f.500 - 600,39.84615384615385,70.0
