Granja,Edad,PesoMedio,Type
Oye_P,739,1511.940299,Historical
Oye_P,612,1217.54717,Historical
Oye_P,642,1158.254496,Historical
Oye_P,612,1532.777778,Historical
Oye_P,670,2002,Historical
Oye_P,453,464,Historical
Oye_P,607,1049,Historical
Oye_P,698,1585,Historical
Oye_P,516,700.8787879,Historical
Oye_P,635,1208,Historical
Oye_P,825,2013,Historical
Oye_P,510,799,Historical
Oye_P,453,660,Historical
Oye_P,453,494,Historical
Oye_P,572,846,Historical
Oye_P,538,534.585,Historical
Oye_P,510,834,Historical
Oye_P,635,1754,Historical
Oye_P,481,400.17855,Historical
Oye_P,635,963,Historical
Oye_P,754,1097,Historical
Oye_P,573,857,Historical
Oye_P,692,1465,Historical
Cervo_P,566,1362.333333,Historical
Cervo_P,573,2081.785714,Historical
Cervo_P,336,381.36,Historical
Cervo_P,490,1208.857143,Historical
Oye_P,916,2934,Historical
Oye_P,706,1625,Historical
Oye_P,706,1200,Historical
Oye_P,642,1528.793878,Historical
Oye_P,761,2329,Historical
Cervo_P,250,193.25,Historical
Cervo_P,308,324.96,Historical
Cervo_P,427,848.1666667,Historical
Cervo_P,462,1001.285714,Historical
Cervo_P,581,1974.081633,Historical
Cervo_P,335,352.6,Historical
Oye_P,739,1411.627907,Historical
Oye_P,579,1100,Historical
Oye_P,486,661.2244898,Historical
Oye_P,544,856,Historical
Oye_P,391,390.8891185,Historical
Oye_P,510,665,Historical
Oye_P,642,1205.926162,Historical
Oye_P,544,486,Historical
Oye_P,447,562,Historical
Oye_P,482,625,Historical
Oye_P,538,639.005,Historical
Oye_P,692,1399,Historical
Oye_P,544,726,Historical
Oye_P,669,1375,Historical
Oye_P,698,1466,Historical
Oye_P,573,1069,Historical
Oye_P,573,994,Historical
Oye_P,726,1432,Historical
Oye_P,755,1570,Historical
Oye_P,916,3922,Historical
Oye_P,670,1910,Historical
Oye_P,789,2542.784007,Historical
Oye_P,797,1573,Historical
Oye_P,754,2088,Historical
Oye_P,789,2198,Historical
Oye_P,629,1632,Historical
Oye_P,726,2101,Historical
Oye_P,755,2150,Historical
Oye_P,664,1688,Historical
Oye_P,851,2008.01951,Historical
Cervo_P,217,135.35,Historical
Cervo_P,336,386.65,Historical
Cervo_P,371,515.9,Historical
Cervo_P,490,1220.7,Historical
Cervo_P,250,182.7777778,Historical
Cervo_P,308,322.56,Historical
Cervo_P,427,870.6666667,Historical
Cervo_P,462,1092.58,Historical
Cervo_P,104,16,Historical
Cervo_P,132,26.7,Historical
Cervo_P,280,251.3518519,Historical
Cervo_P,399,657.1428571,Historical
Cervo_P,518,1391.428571,Historical
Cervo_P,733,3198.352941,Historical
Cervo_P,427,972.5714286,Historical
Cervo_P,427,986.9333333,Historical
Oye_P,706,1262,Historical
Oye_P,825,1629,Historical
Oye_P,739,1300,Historical
Oye_P,579,977,Historical
Oye_P,698,1361,Historical
Oye_P,482,516,Historical
Oye_P,516,588.0413063,Historical
Oye_P,635,1052,Historical
Oye_P,516,492.1589132,Historical
Oye_P,635,717,Historical
Oye_P,390,445,Historical
Oye_P,425,555,Historical
Oye_P,544,954,Historical
Oye_P,390,317,Historical
Oye_P,761,1633,Historical
Oye_P,663,1306.91331,Historical
Oye_P,698,1263,Historical
Oye_P,601,795,Historical
Oye_P,601,779,Historical
Oye_P,629,885,Historical
Oye_P,664,1020,Historical
Tocha_P,376,287,Historical
Tocha_P,411,391.7333333,Historical
Tocha_P,418,259.8977778,Historical
Tocha_P,376,333.2977778,Historical
Oye_P,739,1914.16,Historical
Oye_P,797,2031,Historical
Oye_P,612,1989.84,Historical
Oye_P,552,1023,Historical
Oye_P,585,830.5732484,Historical
Oye_P,643,991,Historical
Oye_P,615,1314.600652,Historical
Oye_P,671,924,Historical
Oye_P,671,1509,Historical
Cervo_P,221,141.5555556,Historical
Cervo_P,279,214.6190476,Historical
Cervo_P,516,1243.384615,Historical
Cervo_P,516,1243.692308,Historical
Cervo_P,635,1980.92437,Historical
Oye_P,671,1471,Historical
Oye_P,986,1900.076,Historical
Oye_P,853,3750.3,Historical
Oye_P,481,766.9200042,Historical
Oye_P,516,833,Historical
Oye_P,482,709,Historical
Oye_P,733,1887,Historical
Oye_P,510,471,Historical
Oye_P,538,946.59,Historical
Oye_P,726,864,Historical
Oye_P,516,502,Historical
Oye_P,663,1318.332271,Historical
Oye_P,698,1533,Historical
Oye_P,601,983,Historical
Oye_P,629,1328,Historical
Oye_P,629,1353,Historical
Oye_P,635,1436,Historical
Oye_P,607,1039,Historical
Cervo_P,398,373.52,Historical
Cervo_P,399,378.72,Historical
Cervo_P,518,988.0714286,Historical
Cervo_P,553,1116.714286,Historical
Cervo_P,427,596.1,Historical
Cervo_P,462,805.9047619,Historical
Cervo_P,581,1419.714286,Historical
Cervo_P,399,697.9375,Historical
Cervo_P,427,710.952381,Historical
Cervo_P,462,880.0952381,Historical
