FARM,DATA,TYPE,YearClass,Gen,a_Aug-2024,b_Sep-2024,c_Oct-2024,d_Nov-2024,e_Dec-2024,f_Jan-2025,g_Feb-2025,h_Mar-2025,i_Apr-2025,j_May-2025,k_Jun-2025,l_Jul-2025,m_Aug-2025,n_Sep-2025,o_Oct-2025,p_Nov-2025,q_Dec-2025,r_Jan-2026
Consolidado,biomass end of month,biomass,TOTAL,TOTAL,3354551.15230951,3400527.246709944,3530125.367530413,3630697.6484780326,3272759.8028528905,3367537.4124937775,3558036.768657725,3779117.123787565,3945715.840019232,4576981.338802727,5263474.1308056265,6057395.567130776,6897900.62665749,7761688.91528558,8701164.834211422,9644903.11277718,10655396.262811974,11697011.068567894
Consolidado,biomass end of month,biomass,a.0 - 300,a.0 - 300,264352.2948001605,226074.46882389567,236216.9332893344,223008.44066946534,156940.2959054468,130653.2284871678,166815.74278852437,203713.69861858964,226820.87804492709,226577.5450452762,223901.47413657187,218220.4277726191,199106.31163615175,169955.5574236965,118536.75748511485,58348.96187437822,17006.52641501374,3948.2320544105464
Consolidado,biomass end of month,biomass,b.300 - 400,b.300 - 400,134176.14374121817,177642.6273242529,118016.19191168927,161072.4635528013,139957.88482092638,89321.09399969495,31433.176736694197,43639.57816799145,72382.2392894637,104408.48567441596,103277.30064705307,102248.2089583311,112708.48787000637,116279.53345255784,126974.5021255503,120758.84848184217,80996.6732426081,33385.097130752336
Consolidado,biomass end of month,biomass,c.400 - 600,c.400 - 600,231206.75751979314,302130.02278383524,405733.98276254156,250262.55067507428,341861.96604155714,333384.0416530785,222116.7162627077,103553.59535146842,84344.01006469424,137158.44209539882,196511.18301381796,233442.82307613437,231203.1829945804,244467.72209420384,266362.35449609725,287746.1515785958,296886.4984134854,252750.03033392772
Consolidado,biomass end of month,biomass,d.600 - 800,d.600 - 800,323396.19377915026,260136.5861366563,341164.989163082,534692.5786089957,373939.238013717,436829.5869993878,442615.1851210627,335044.71904370934,146842.50093740926,87322.72657193094,115652.59440793932,182834.89931370493,248833.49565346533,269383.3272498207,275084.7729532062,296570.0720065495,323834.02597248694,348727.62258168985
Consolidado,biomass end of month,biomass,e.800 - 1000,e.800 - 1000,391007.7643753237,363284.74837280624,356213.50228735775,380103.54392728745,609102.1472865803,506447.053068881,573489.1497159163,482489.69542362465,387143.3382180292,206855.47601026422,109100.69150348214,106299.15334150093,174633.01943919604,249742.73064610956,297067.22720885667,306549.578332588,324750.1206023794,352914.4487283357
Consolidado,biomass end of month,biomass,f.1000 - 1500,f.1000 - 1500,796307.839915033,854962.0048964104,910001.4860939659,951981.2529455266,889552.3073130789,1159081.8418983384,1407527.1284793313,1756539.5444983188,1792841.2444587108,1726879.981487198,1143573.883831058,726088.0960198275,432741.55892995704,358809.4018745406,471308.61058880767,621560.853883825,750173.4768772596,832981.7198584529
Consolidado,biomass end of month,biomass,g.1500 - 2000,g.1500 - 2000,657789.6350672002,674840.4413789929,655890.0505443901,637849.0544490482,517010.7295039296,565588.8706139371,616342.5295763727,678791.675012087,1096284.0894269063,1754957.6476206218,2523881.874536363,2144608.9606379694,1596480.0937836554,1092932.7494993214,667462.5778889436,430291.64008850383,414663.98146232934,556723.8977535509
Consolidado,biomass end of month,biomass,h.2000 - 2500,h.2000 - 2500,276204.1883343583,294789.0004032191,282675.192513956,273312.5625584003,126754.46975610044,55085.555398260294,51004.34010442713,162186.46289959573,125193.8669996237,309132.1831312245,756478.8620270478,2017650.1348006034,2919790.1064040326,2608144.8043243247,1947333.5108369752,1368139.7529138315,960109.6451538585,592545.8084743047
Consolidado,biomass end of month,biomass,i.2500 - 3000,i.2500 - 3000,70124.79375653355,88252.19072207958,131816.0133665768,138827.02004193212,69768.87164745522,24074.201941372667,9652.533657485174,0.0,0.0,9167.011109670031,71177.83330721493,281370.20741842507,839896.8189740385,2191263.6846091175,3124915.321684334,2870024.0261623356,2152054.6409584978,1585224.6321505378
Consolidado,biomass end of month,biomass,j.3000 - 4000,j.3000 - 4000,209985.54102073915,135214.9878291651,79592.84632798214,64817.33218343563,31838.316514465252,55297.44857249794,24561.812946131646,0.0,0.0,0.0,4801.776619674767,28845.050482817074,126059.82797823403,437222.35014371044,1350444.995834013,3158325.0971174794,4956919.831999877,5943268.049143596
Consolidado,biomass end of month,biomass,k.4000,k.4000,0.0,23200.168038631095,12804.179269536888,14770.848866065664,16033.576049633471,11774.489861160942,12478.453269071942,13158.154772179998,13863.67257946796,14521.840056725952,15116.65677540323,15787.605308842969,16447.722994172516,23487.05396817699,55674.20310952438,126588.13033724962,378000.84171417844,1194541.5303583362
Consolidado,culling,avweight,2022,22 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
