Granja,FechaFin,Gen,Talla,Biomasa,Num
SSF_Iberia,2024-08-31,22 3,k.4000,4485.993166992187,1027.0
SSF_Iberia,2024-08-31,22 3,k.4000,3884.94103125,948.0
SSF_Iberia,2024-08-31,22 3,k.4000,3966.1605927734377,871.0
SSF_Iberia,2024-08-31,22 3,k.4000,1484.676460449219,353.0
SSF_Iberia,2024-08-31,22 3,j.3000 - 4000,4241.075,1174.0
SSF_Iberia,2024-08-31,22 3,j.3000 - 4000,2272.305,646.0
SSF_Iberia,2024-08-31,22 4,j.3000 - 4000,6342.569493408203,1805.0
SSF_Iberia,2024-08-31,22 4,j.3000 - 4000,6426.274010009765,1827.0
SSF_Iberia,2024-08-31,22 4,j.3000 - 4000,5347.370802734375,1478.0
SSF_Iberia,2024-08-31,22 4,j.3000 - 4000,2686.04,742.0
SSF_Iberia,2024-08-31,22 4,j.3000 - 4000,3681.642821044922,1035.0
SSF_Iberia,2024-08-31,22 4,h.2000 - 2500,5313.914326171875,2586.0
SSF_Iberia,2024-08-31,23 3,e.800 - 1000,3792.136987426758,4494.0
SSF_Iberia,2024-08-31,22 4,i.2500 - 3000,5037.9263178710935,1682.0
SSF_Iberia,2024-08-31,22 4,i.2500 - 3000,345.0,125.0
SSF_Iberia,2024-08-31,22 4,i.2500 - 3000,7038.056,2437.0
SSF_Iberia,2024-08-31,23 4,c.400 - 600,2454.3408962402345,5297.0
SSF_Iberia,2024-08-31,22 4,i.2500 - 3000,7091.01881640625,2486.0
SSF_Iberia,2024-08-31,22 4,i.2500 - 3000,6014.844,2196.0
SSF_Iberia,2024-08-31,22 4,i.2500 - 3000,5792.672,2306.0
SSF_Iberia,2024-08-31,22 4,h.2000 - 2500,5682.5,2273.0
SSF_Iberia,2024-08-31,24 1,c.400 - 600,545.5233223876953,917.0
SSF_Iberia,2024-08-31,22 4,i.2500 - 3000,3498.895,1262.0
SSF_Iberia,2024-08-31,23 4,d.600 - 800,1784.9079345703126,2600.0
SSF_Iberia,2024-08-31,23 4,e.800 - 1000,1572.4590423583984,1810.0
SSF_Iberia,2024-08-31,22 4,i.2500 - 3000,179.07999462890626,66.0
SSF_Iberia,2024-08-31,23 1,g.1500 - 2000,1540.4470708007811,834.0
SSF_Iberia,2024-08-31,23 1,h.2000 - 2500,7080.4,2855.0
SSF_Iberia,2024-08-31,23 1,h.2000 - 2500,7234.306352050781,2934.0
SSF_Iberia,2024-08-31,23 1,h.2000 - 2500,6425.813548828125,2648.0
SSF_Iberia,2024-08-31,23 1,h.2000 - 2500,7312.6696611328125,2946.0
SSF_Iberia,2024-08-31,23 4,e.800 - 1000,2839.68,3480.0
SSF_Iberia,2024-08-31,23 1,f.1000 - 1500,866.88,688.0
SSF_Iberia,2024-08-31,23 1,g.1500 - 2000,2290.6266197509767,1153.0
SSF_Iberia,2024-08-31,23 1,h.2000 - 2500,661.44,318.0
SSF_Iberia,2024-08-31,23 2,g.1500 - 2000,3715.195,2179.0
SSF_Iberia,2024-08-31,23 2,h.2000 - 2500,4160.41650415039,1997.0
SSF_Iberia,2024-08-31,23 2,g.1500 - 2000,3196.736,2008.0
SSF_Iberia,2024-08-31,23 2,h.2000 - 2500,3103.258270874024,1535.0
SSF_Iberia,2024-08-31,23 2,h.2000 - 2500,3523.3884724121094,1709.0
SSF_Iberia,2024-08-31,23 2,g.1500 - 2000,3799.529918701172,1998.0
SSF_Iberia,2024-08-31,23 2,h.2000 - 2500,4223.655,1997.0
SSF_Iberia,2024-08-31,23 2,g.1500 - 2000,3955.449919189453,1986.0
SSF_Iberia,2024-08-31,23 2,g.1500 - 2000,621.9733472900391,343.0
SSF_Iberia,2024-08-31,23 2,g.1500 - 2000,216.48,123.0
SSF_Iberia,2024-08-31,23 2,g.1500 - 2000,3830.493245605469,2156.0
SSF_Iberia,2024-08-31,23 4,d.600 - 800,1746.9692219238282,2694.0
SSF_Iberia,2024-08-31,23 2,g.1500 - 2000,6218.01,3513.0
SSF_Iberia,2024-08-31,23 2,h.2000 - 2500,4037.67,1989.0
SSF_Iberia,2024-08-31,23 2,g.1500 - 2000,695.4,366.0
SSF_Iberia,2024-08-31,23 2,g.1500 - 2000,3350.5265971679687,1708.0
SSF_Iberia,2024-08-31,23 2,h.2000 - 2500,3632.346805664063,1708.0
SSF_Iberia,2024-08-31,23 2,g.1500 - 2000,3995.25,2283.0
SSF_Iberia,2024-08-31,23 2,g.1500 - 2000,6433.404914794922,3486.0
SSF_Iberia,2024-08-31,23 2,d.600 - 800,690.2739883422852,955.0
SSF_Iberia,2024-08-31,23 2,h.2000 - 2500,1887.75,839.0
SSF_Iberia,2024-08-31,23 2,h.2000 - 2500,5692.43059765625,2284.0
SSF_Iberia,2024-08-31,23 2,h.2000 - 2500,5012.6711909179685,2091.0
SSF_Iberia,2024-08-31,23 3,f.1000 - 1500,4656.476103027344,3761.0
SSF_Iberia,2024-08-31,23 2,h.2000 - 2500,5177.25,2301.0
