Granja,FechaFin,Gen,Talla,Biomasa,Num
SSF_Iberia,2024-09-30,22 3,k.4000,4725.102131835937,1023.0
SSF_Iberia,2024-09-30,22 3,k.4000,271.45,61.0
SSF_Iberia,2024-09-30,22 4,j.3000 - 4000,5684.2165505371095,1427.0
SSF_Iberia,2024-09-30,22 4,j.3000 - 4000,6610.843303466797,1819.0
SSF_Iberia,2024-09-30,22 4,j.3000 - 4000,4805.438732910156,1274.0
SSF_Iberia,2024-09-30,22 4,j.3000 - 4000,4405.087729492188,1190.0
SSF_Iberia,2024-09-30,24 1,c.400 - 600,789.336,1731.0
SSF_Iberia,2024-09-30,22 4,j.3000 - 4000,4468.053333333334,1280.0
SSF_Iberia,2024-09-30,22 4,j.3000 - 4000,3691.716,994.0
SSF_Iberia,2024-09-30,22 4,j.3000 - 4000,334.464,96.0
SSF_Iberia,2024-09-30,22 4,h.2000 - 2500,5753.181385742188,2582.0
SSF_Iberia,2024-09-30,23 3,g.1500 - 2000,3886.3477705078126,2244.0
SSF_Iberia,2024-09-30,23 3,e.800 - 1000,3227.0,3688.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,3053.173262207032,1748.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,3554.796786621094,1474.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,4094.59,1699.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,3681.8298618164063,1698.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,3800.67,1678.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,3683.773201171875,1624.0
SSF_Iberia,2024-09-30,23 2,i.2500 - 3000,2849.86037109375,1104.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,2779.147674316406,1193.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,5208.875839355469,2087.0
SSF_Iberia,2024-09-30,23 4,f.1000 - 1500,2909.423235961914,2887.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,2088.896,1016.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,4000.783104492188,2088.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,3493.5839306640623,1865.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,4854.029916992187,2020.0
SSF_Iberia,2024-09-30,23 4,f.1000 - 1500,1783.8778791503903,1383.0
SSF_Iberia,2024-09-30,23 4,d.600 - 800,1505.9265604248046,1893.0
SSF_Iberia,2024-09-30,23 2,i.2500 - 3000,5946.24,2280.0
SSF_Iberia,2024-09-30,23 2,i.2500 - 3000,6089.753869628907,2286.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,4912.487195068359,2073.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,185.23800001099707,82.0
SSF_Iberia,2024-09-30,23 2,f.1000 - 1500,1733.466,1662.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,5550.955467041015,2557.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,535.4444487304687,237.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,1129.388,481.0
SSF_Iberia,2024-09-30,23 2,i.2500 - 3000,2560.4576787109377,913.0
SSF_Iberia,2024-09-30,24 1,c.400 - 600,210.4655970153809,489.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,1058.4,600.0
SSF_Iberia,2024-09-30,23 3,f.1000 - 1500,2442.371571533203,1761.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,4558.86,1935.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,3847.743,1809.0
SSF_Iberia,2024-09-30,23 2,i.2500 - 3000,6470.492059570312,2202.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,3555.750666666666,1433.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,3343.6706666666664,1483.0
SSF_Iberia,2024-09-30,23 3,g.1500 - 2000,4269.447489624024,2695.0
SSF_Iberia,2024-09-30,23 3,g.1500 - 2000,4090.882059326172,2687.0
SSF_Iberia,2024-09-30,23 2,i.2500 - 3000,3515.633333333333,1235.0
SSF_Iberia,2024-09-30,23 2,f.1000 - 1500,1006.8333618164064,980.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,1003.92,534.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,5301.63709765625,2384.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,999.936,448.0
SSF_Iberia,2024-09-30,23 2,i.2500 - 3000,908.352,342.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,5790.150633300781,2362.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,1073.886,583.0
SSF_Iberia,2024-09-30,23 2,i.2500 - 3000,1177.176,462.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,951.648,431.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,5498.052692871093,2385.0
SSF_Iberia,2024-09-30,23 2,i.2500 - 3000,480.168,171.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,779.8,350.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,475.072,208.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,2802.6665625,1280.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,797.448,447.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,815.248,406.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,933.408,504.0
