FARM,DATA,TYPE,YearClass,Gen,Mes,value,Year,Month,last,id
Consolidado,biomass end of month,biomass,a.0 - 300,a.0 - 300,a_Sep-2024,258358.92692050454,2024,9,False,Consolidadoa.0 - 3002024a_Sep-2024
Consolidado,biomass end of month,biomass,b.300 - 400,b.300 - 400,a_Sep-2024,128599.04227076576,2024,9,False,Consolidadob.300 - 4002024a_Sep-2024
Consolidado,biomass end of month,biomass,c.400 - 600,c.400 - 600,a_Sep-2024,284712.24078730674,2024,9,False,Consolidadoc.400 - 6002024a_Sep-2024
Consolidado,biomass end of month,biomass,d.600 - 800,d.600 - 800,a_Sep-2024,311720.5665757382,2024,9,False,Consolidadod.600 - 8002024a_Sep-2024
Consolidado,biomass end of month,biomass,e.800 - 1000,e.800 - 1000,a_Sep-2024,346240.2233843887,2024,9,False,Consolidadoe.800 - 10002024a_Sep-2024
Consolidado,biomass end of month,biomass,f.1000 - 1500,f.1000 - 1500,a_Sep-2024,793741.9673325943,2024,9,False,Consolidadof.1000 - 15002024a_Sep-2024
Consolidado,biomass end of month,biomass,g.1500 - 2000,g.1500 - 2000,a_Sep-2024,634184.0892431511,2024,9,False,Consolidadog.1500 - 20002024a_Sep-2024
Consolidado,biomass end of month,biomass,h.2000 - 2500,h.2000 - 2500,a_Sep-2024,323864.5833925454,2024,9,False,Consolidadoh.2000 - 25002024a_Sep-2024
Consolidado,biomass end of month,biomass,i.2500 - 3000,i.2500 - 3000,a_Sep-2024,66278.79665908504,2024,9,False,Consolidadoi.2500 - 30002024a_Sep-2024
Consolidado,biomass end of month,biomass,j.3000 - 4000,j.3000 - 4000,a_Sep-2024,105641.72158439853,2024,9,False,Consolidadoj.3000 - 40002024a_Sep-2024
Consolidado,biomass end of month,biomass,k.4000,k.4000,a_Sep-2024,25924.132359830804,2024,9,False,Consolidadok.40002024a_Sep-2024
Consolidado,biomass end of month,biomass,TOTAL,TOTAL,a_Sep-2024,3279266.2905103094,2024,9,False,Consolidadot.TOTAL2024a_Sep-2024
Consolidado,culling,avweight,2022,22 3,a_Sep-2024,0.0,2024,9,False,Consolidado22 32024a_Sep-2024
Consolidado,culling,avweight,2022,22 4,a_Sep-2024,0.0,2024,9,False,Consolidado22 42024a_Sep-2024
Consolidado,culling,avweight,2023,23 1,a_Sep-2024,0.0,2024,9,False,Consolidado23 12024a_Sep-2024
Consolidado,culling,avweight,2023,23 2,a_Sep-2024,0.0,2024,9,False,Consolidado23 22024a_Sep-2024
Consolidado,culling,avweight,2023,23 3,a_Sep-2024,0.0,2024,9,False,Consolidado23 32024a_Sep-2024
Consolidado,culling,avweight,2023,23 4,a_Sep-2024,0.0,2024,9,False,Consolidado23 42024a_Sep-2024
Consolidado,culling,avweight,2024,24 1,a_Sep-2024,0.0,2024,9,False,Consolidado24 12024a_Sep-2024
Consolidado,culling,avweight,2024,24 2,a_Sep-2024,56.642102516648805,2024,9,False,Consolidado24 22024a_Sep-2024
Consolidado,culling,avweight,2024,24 3,a_Sep-2024,55.65940961898375,2024,9,False,Consolidado24 32024a_Sep-2024
Consolidado,culling,avweight,2024,24 4,a_Sep-2024,0.0,2024,9,False,Consolidado24 42024a_Sep-2024
Consolidado,culling,avweight,2025,25 1,a_Sep-2024,0.0,2024,9,False,Consolidado25 12024a_Sep-2024
Consolidado,culling,avweight,2025,25 2,a_Sep-2024,0.0,2024,9,False,Consolidado25 22024a_Sep-2024
Consolidado,culling,avweight,2025,25 3,a_Sep-2024,0.0,2024,9,False,Consolidado25 32024a_Sep-2024
Consolidado,culling,avweight,TOTAL,TOTAL,a_Sep-2024,55.67103912073127,2024,9,False,ConsolidadoTOTAL2024a_Sep-2024
Consolidado,culling,biomass,2022,22 3,a_Sep-2024,0.0,2024,9,False,Consolidado22 32024a_Sep-2024
Consolidado,culling,biomass,2022,22 4,a_Sep-2024,0.0,2024,9,False,Consolidado22 42024a_Sep-2024
Consolidado,culling,biomass,2023,23 1,a_Sep-2024,0.0,2024,9,False,Consolidado23 12024a_Sep-2024
Consolidado,culling,biomass,2023,23 2,a_Sep-2024,0.0,2024,9,False,Consolidado23 22024a_Sep-2024
Consolidado,culling,biomass,2023,23 3,a_Sep-2024,0.0,2024,9,False,Consolidado23 32024a_Sep-2024
Consolidado,culling,biomass,2023,23 4,a_Sep-2024,0.0,2024,9,False,Consolidado23 42024a_Sep-2024
Consolidado,culling,biomass,2024,24 1,a_Sep-2024,0.0,2024,9,False,Consolidado24 12024a_Sep-2024
Consolidado,culling,biomass,2024,24 2,a_Sep-2024,3.171957740932333,2024,9,False,Consolidado24 22024a_Sep-2024
Consolidado,culling,biomass,2024,24 3,a_Sep-2024,260.26339937836804,2024,9,False,Consolidado24 32024a_Sep-2024
Consolidado,culling,biomass,2024,24 4,a_Sep-2024,0.0,2024,9,False,Consolidado24 42024a_Sep-2024
Consolidado,culling,biomass,2025,25 1,a_Sep-2024,0.0,2024,9,False,Consolidado25 12024a_Sep-2024
Consolidado,culling,biomass,2025,25 2,a_Sep-2024,0.0,2024,9,False,Consolidado25 22024a_Sep-2024
Consolidado,culling,biomass,2025,25 3,a_Sep-2024,0.0,2024,9,False,Consolidado25 32024a_Sep-2024
