FARM,DATA,TYPE,YearClass,Gen,a_Sep-2024,b_Oct-2024,c_Nov-2024,d_Dec-2024,e_Jan-2025,f_Feb-2025,g_Mar-2025,h_Apr-2025,i_May-2025,j_Jun-2025,k_Jul-2025,l_Aug-2025,m_Sep-2025,n_Oct-2025,o_Nov-2025,p_Dec-2025,q_Jan-2026,r_Feb-2026
Consolidado,biomass end of month,biomass,a.0 - 300,a.0 - 300,258358.92692050454,228521.38724964438,227070.4618900405,156105.8795007452,168845.2036908494,197136.10834770487,250570.10092498775,262099.5711956807,257506.4108856699,256986.70968482265,249661.34850365485,268268.6278013531,290553.2739506578,304064.0632489743,308041.6780609405,288688.86203164456,255964.3200806374,214677.7287347637
Consolidado,biomass end of month,biomass,b.300 - 400,b.300 - 400,128599.04227076576,140552.07330135998,100111.98175703551,165163.6873643899,55719.2702162124,54709.78660115681,35570.424413729284,94950.97825217951,136284.46058790182,132456.2104748116,134484.91952265307,109430.5022858924,105007.97424471253,112683.74155451178,130714.66689179007,159782.97453277724,179474.83853891768,184942.58341855474
Consolidado,biomass end of month,biomass,c.400 - 600,c.400 - 600,284712.24078730674,259758.44786702518,346191.6221086559,246227.30073524753,322475.4470829272,114904.65605218579,112656.27604572382,92100.24818563274,118558.90665644914,230562.93093758606,316607.16937312216,333450.8729769888,311715.8868758198,277304.3629458213,258849.56917673608,275939.6968686306,316305.10310316994,369804.50282327266
Consolidado,biomass end of month,biomass,d.600 - 800,d.600 - 800,311720.5665757382,355075.009590972,277648.67388735374,428240.0585736729,341933.3452820343,452707.14483188017,167513.1013928751,123517.6534254034,123274.39478741064,72071.22795573187,136074.63579918677,276196.896708925,381530.2541138326,416730.26881418476,398920.8311756309,350769.2679064119,321066.4530852525,319586.3705322755
Consolidado,biomass end of month,biomass,e.800 - 1000,e.800 - 1000,346240.2233843887,370625.80529562425,377112.9318622441,292240.68632126664,434524.92872260476,355807.34964358667,534663.7438627301,202680.04844942872,113571.93044153186,125506.03502479731,59979.65198390089,66679.35000072396,165107.6985673933,312784.78793804365,422699.58004267904,467115.8347873787,444684.9629974555,395935.321876129
Consolidado,biomass end of month,biomass,f.1000 - 1500,f.1000 - 1500,793741.9673325943,875710.8831621049,935362.4695533453,900342.4977076303,831237.9864659259,945444.6969187143,950719.1018561417,1289420.9238116436,1134546.4093964181,646593.3712828481,322682.33541350503,309449.46730003593,249280.51440534892,212830.0111199787,284394.9988626964,525664.7746689972,810615.2453151469,1049460.2464023957
Consolidado,biomass end of month,biomass,g.1500 - 2000,g.1500 - 2000,634184.0892431511,454148.4075382477,499914.6409129586,582381.510360135,662744.0113511856,572943.4497440064,404098.53675729764,443245.1963095103,719525.0499324476,1071327.653362725,990345.3172871999,670067.2077929679,354744.40614990983,328047.8378017295,382881.53118633793,303393.29009563883,187330.7553526099,162400.5129450416
Consolidado,biomass end of month,biomass,h.2000 - 2500,h.2000 - 2500,323864.5833925454,242238.88361161333,142682.2942648673,73581.94484866565,53533.95419494862,160297.92872822977,88174.7570241285,85924.95824111771,96001.10724761467,233623.28341160787,561594.1165932056,1019656.4668470483,1135419.1556942929,790993.1553530032,452380.8503699695,332308.89088969387,417819.7424880543,445554.304664461
Consolidado,biomass end of month,biomass,i.2500 - 3000,i.2500 - 3000,66278.79665908504,97341.71556962086,63066.54834102035,14340.3453286658,0.0,0.0,0.0,0.0,0.0,18985.60111837914,27761.592287983556,219440.0890191808,692445.8520811619,1123410.7316101827,1190416.1949130301,855587.6888897019,499584.7923070635,306156.68077540054
Consolidado,biomass end of month,biomass,j.3000 - 4000,j.3000 - 4000,105641.72158439853,35625.560006763415,18586.135095118196,43414.03264382234,12041.658346804612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67481.4791229017,403414.11501774064,994806.0962916348,1776553.8370199597,2285042.692918468,2241369.3548714253
Consolidado,biomass end of month,biomass,k.4000,k.4000,25924.132359830804,66540.14144630024,67453.57932553654,72767.29311788542,78275.82918452726,83641.4306905628,83822.30455494933,88244.76447474062,87548.41359792417,91524.68660360468,96120.5161856903,100315.13743198226,104144.59258632106,107410.93884159264,107518.34978043422,186411.73216156312,423726.3567903,1028849.9606529735
Consolidado,biomass end of month,biomass,TOTAL,TOTAL,3279266.2905103094,3126138.3146392764,3055201.338998176,2974805.236502127,2961331.63453802,2937592.5515580275,2627788.346832563,2682184.3423453374,2786817.083533368,2879637.7098569144,2895311.602950102,3372954.618165098,3857431.0877923523,4389674.014245763,4931624.34675188,5522216.849852398,6141615.262977075,6718737.567696693
Consolidado,culling,avweight,2022,22 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2022,22 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2023,23 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2023,23 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2023,23 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2023,23 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2024,24 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2024,24 2,56.642102516648805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2024,24 3,55.65940961898375,62.494404153145176,55.71377061930515,34.35666279681222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2024,24 4,0.0,0.0,0.0,0.0,36.81350671333656,37.92892684468336,38.573863303850544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2025,25 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.87143110923023,36.26988256800961,34.44884726673116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2025,25 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.829363962604294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2025,25 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
