Fecha,Granja,Tanque,Gen,Lote,PesoMedio,Num,Biomasa,Edad,EdadMeses,Talla_100,Talla_500
05 - optima,Lira_P,Optima,Optima,Optima,NA,420000,21000,Optima,NA,aa.0 - 100,a.0 - 300
05 - optima,Lira_P,Optima,Optima,Optima,NA,146666.6667,22000,Optima,NA,ab.100 - 200,a.0 - 300
05 - optima,Lira_P,Optima,Optima,Optima,NA,80000,20000,Optima,NA,ac.200 - 300,a.0 - 300
05 - optima,Lira_P,Optima,Optima,Optima,NA,62857.14286,22000,Optima,NA,ad.300 - 400,b.300 - 400
05 - optima,Lira_P,Optima,Optima,Optima,NA,55555.55556,25000,Optima,NA,ae.400 - 500,c.400 - 600
05 - optima,Lira_P,Optima,Optima,Optima,NA,54545.45455,30000,Optima,NA,af.500 - 600,c.400 - 600
05 - optima,Lira_P,Optima,Optima,Optima,NA,52307.69231,34000,Optima,NA,ag.600 - 700,d.600 - 800
05 - optima,Lira_P,Optima,Optima,Optima,NA,50666.66667,38000,Optima,NA,ah.700 - 800,d.600 - 800
05 - optima,Lira_P,Optima,Optima,Optima,NA,47058.82353,40000,Optima,NA,ai.800 - 900,e.800 - 1000
05 - optima,Lira_P,Optima,Optima,Optima,NA,50526.31579,48000,Optima,NA,aj.900 - 1000,e.800 - 1000
05 - optima,Lira_P,Optima,Optima,Optima,NA,61904.7619,65000,Optima,NA,ak.1000 - 1100,f.1000 - 1500
05 - optima,Lira_P,Optima,Optima,Optima,NA,53043.47826,61000,Optima,NA,al.1100 - 1200,f.1000 - 1500
05 - optima,Lira_P,Optima,Optima,Optima,NA,43200,54000,Optima,NA,am.1200 - 1300,f.1000 - 1500
05 - optima,Lira_P,Optima,Optima,Optima,NA,38518.51852,52000,Optima,NA,an.1300 - 1400,f.1000 - 1500
05 - optima,Lira_P,Optima,Optima,Optima,NA,36551.72414,53000,Optima,NA,ao.1400 - 1500,f.1000 - 1500
05 - optima,Lira_P,Optima,Optima,Optima,NA,25806.45161,40000,Optima,NA,ap.1500 - 1600,g.1500 - 2000
05 - optima,Lira_P,Optima,Optima,Optima,NA,18181.81818,30000,Optima,NA,aq.1600 - 1700,g.1500 - 2000
05 - optima,Lira_P,Optima,Optima,Optima,NA,16000,28000,Optima,NA,ar.1700 - 1800,g.1500 - 2000
05 - optima,Lira_P,Optima,Optima,Optima,NA,11891.89189,22000,Optima,NA,as.1800 - 1900,g.1500 - 2000
05 - optima,Lira_P,Optima,Optima,Optima,NA,10256.41026,20000,Optima,NA,at.1900 - 2000,g.1500 - 2000
05 - optima,Lira_P,Optima,Optima,Optima,NA,4651.162791,10000,Optima,NA,au.2000 - 2100,h.2000 - 2500
05 - optima,Lira_P,Optima,Optima,Optima,NA,3555.555556,8000,Optima,NA,av.2100 - 2200,h.2000 - 2500
05 - optima,Lira_P,Optima,Optima,Optima,NA,2553.191489,6000,Optima,NA,aw.2200 - 2300,h.2000 - 2500
05 - optima,Lira_P,Optima,Optima,Optima,NA,1632.653061,4000,Optima,NA,ax.2300 - 2400,h.2000 - 2500
05 - optima,Lira_P,Optima,Optima,Optima,NA,784.3137255,2000,Optima,NA,ay.2400 - 2500,h.2000 - 2500
05 - optima,Lira_P,Optima,Optima,Optima,NA,1886.792453,5000,Optima,NA,az.2500 - 2600,i.2500 - 3000
11 - optima,Lira_P,Optima,Optima,Optima,NA,3.00E+05,15000,Optima,NA,aa.0 - 100,a.0 - 300
11 - optima,Lira_P,Optima,Optima,Optima,NA,153333.3333,23000,Optima,NA,ab.100 - 200,a.0 - 300
11 - optima,Lira_P,Optima,Optima,Optima,NA,116000,29000,Optima,NA,ac.200 - 300,a.0 - 300
11 - optima,Lira_P,Optima,Optima,Optima,NA,102857.1429,36000,Optima,NA,ad.300 - 400,b.300 - 400
11 - optima,Lira_P,Optima,Optima,Optima,NA,93333.33333,42000,Optima,NA,ae.400 - 500,c.400 - 600
11 - optima,Lira_P,Optima,Optima,Optima,NA,65454.54545,36000,Optima,NA,af.500 - 600,c.400 - 600
11 - optima,Lira_P,Optima,Optima,Optima,NA,56923.07692,37000,Optima,NA,ag.600 - 700,d.600 - 800
